[I 241224 13:50:15 app:51] on open
[I 241224 13:50:47 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12082254, 'exchange_timestamp': 1735028447000, 'last_traded_price': 122595, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:48 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12082455, 'exchange_timestamp': 1735028448000, 'last_traded_price': 122595, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:48 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12082618, 'exchange_timestamp': 1735028448000, 'last_traded_price': 191690, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:49 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12082853, 'exchange_timestamp': 1735028448000, 'last_traded_price': 122565, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:49 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12083264, 'exchange_timestamp': 1735028449000, 'last_traded_price': 122595, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:49 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12083369, 'exchange_timestamp': 1735028449000, 'last_traded_price': 191690, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:49 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12083533, 'exchange_timestamp': 1735028449000, 'last_traded_price': 122595, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:49 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12083547, 'exchange_timestamp': 1735028449000, 'last_traded_price': 191660, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:50 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 12083959, 'exchange_timestamp': 1735028450000, 'last_traded_price': 122580, 'subscription_mode_val': 'LTP'}
[I 241224 13:50:50 app:46] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '1594', 'sequence_number': 12084103, 'exchange_timestamp': 1735028450000, 'last_traded_price': 191735, 'subscription_mode_val': 'LTP'}
